direction,entry,sl,tp,risk,score,pattern,context,htf,macd,ignition,vr,atr,symbol,entry_time,risk_money,exit_time,exit,pnl,R,result
SELL,2944.0871889946256,2952.6548163743228,2926.9519342352314,8.567627379697115,65,ENGULFING_BEAR,8,BEAR,BEAR,YES,1.10389692017599,2.588589855488603,XAUUSDm,2025-01-02 16:00:00,25.0,2025-01-03 05:30:00,2926.9519342352314,50.0,2.0,WIN
SELL,2939.582198317804,2945.748901894079,2927.2487911652534,6.1667035762752676,65,ENGULFING_BEAR,8,BEAR,BULL,YES,1.1385542168674698,2.0878321267710556,XAUUSDm,2025-01-02 20:15:00,25.0,2025-01-03 05:30:00,2927.2487911652534,50.0,2.0,WIN
SELL,2939.80625939859,2947.888052791118,2923.6426726135346,8.081793392527743,65,ENGULFING_BEAR,8,BEAR,BULL,YES,0.9372547465218598,2.4549233029096977,XAUUSDm,2025-01-02 18:45:00,25.0,2025-01-03 06:45:00,2923.6426726135346,50.0,2.0,WIN
SELL,2911.138777147738,2916.942534928385,2899.5312615864436,5.8037577806471745,65,ENGULFING_BEAR,8,BEAR,BULL,YES,0.8264120461465173,2.5491268005095358,XAUUSDm,2025-01-03 16:00:00,25.375,2025-01-04 04:15:00,2899.5312615864436,50.75,2.0,WIN
SELL,2911.7677152455344,2918.3733272258332,2898.556491284937,6.605611980298818,65,ENGULFING_BEAR,8,BEAR,BULL,YES,1.0316050101951646,2.591009402168051,XAUUSDm,2025-01-03 15:30:00,25.375,2025-01-04 06:15:00,2898.556491284937,50.75,2.0,WIN
SELL,2908.7753003191674,2916.0823301105575,2894.1612407363873,7.30702979139005,80,ENGULFING_BEAR,8,BEAR,BULL,YES,0.9292577693478125,2.9372901476003572,XAUUSDm,2025-01-03 18:15:00,25.375,2025-01-04 09:00:00,2894.1612407363873,50.75,2.0,WIN
SELL,2896.4826600486576,2901.321630692035,2886.804718761903,4.838970643377252,65,ENGULFING_BEAR,8,BEAR,BULL,YES,1.1331127513362178,2.8751812880464493,XAUUSDm,2025-01-04 12:15:00,25.755625000000002,2025-01-04 17:30:00,2886.804718761903,51.511250000000004,2.0,WIN
SELL,2896.9097787210417,2903.2455964859646,2884.238143191196,6.335817764922922,90,ENGULFING_BEAR,8,BEAR,CROSS_DOWN,YES,1.0315043714199577,2.4079792134254085,XAUUSDm,2025-01-04 08:30:00,25.62875,2025-01-04 20:15:00,2884.238143191196,51.2575,2.0,WIN
SELL,2891.381375634185,2897.695829907034,2878.7524670884877,6.314454272848707,90,ENGULFING_BEAR,8,BEAR,CROSS_DOWN,YES,0.988080025138787,2.8087154729886,XAUUSDm,2025-01-04 16:30:00,25.755625000000002,2025-01-04 23:30:00,2878.7524670884877,51.511250000000004,2.0,WIN
SELL,2885.10078461582,2891.6776998563505,2871.946954134759,6.576915240530525,65,ENGULFING_BEAR,8,BEAR,BULL,YES,0.7470922548242136,2.6023397167003255,XAUUSDm,2025-01-04 22:15:00,26.012546874999998,2025-01-05 07:45:00,2871.946954134759,52.025093749999996,2.0,WIN
